n,k,num_iterations,mflops,gpu,num_threads
1000,50,12,39.648449,1,512
1000,50,16,130.144791,0,512
1000,100,10,78.783585,1,512
1000,100,19,125.148201,0,512
1000,150,10,119.265327,1,512
1000,150,11,125.877327,0,512
1000,200,7,138.696259,1,512
1000,200,9,124.766060,0,512
1000,250,7,179.229828,1,512
1000,250,14,126.217094,0,512
1000,300,7,194.534500,1,512
1000,300,11,125.723862,0,512
1000,350,6,208.976013,1,512
1000,350,6,125.515511,0,512
1000,400,5,213.720886,1,512
1000,400,9,125.650063,0,512
1000,450,6,229.865479,1,512
1000,450,8,125.707100,0,512
1000,500,6,236.593063,1,512
1000,500,8,124.351044,0,512
1000,550,5,242.997253,1,512
1000,550,5,122.467155,0,512
1000,600,7,248.682571,1,512
1000,600,7,144.947540,0,512
1000,650,6,267.233124,1,512
1000,650,6,156.897461,0,512
1000,700,6,271.932678,1,512
1000,700,5,156.908463,0,512
1000,750,4,277.495148,1,512
1000,750,7,155.251953,0,512
1000,800,4,263.287811,1,512
1000,800,7,150.590256,0,512
1000,850,4,283.168152,1,512
1000,850,7,150.131210,0,512
1000,900,4,286.921173,1,512
1000,900,4,149.850143,0,512
1000,950,4,289.237335,1,512
1000,950,4,148.356369,0,512
10000,50,30,500.884888,1,512
10000,50,30,169.323166,0,512
10000,100,30,876.117065,1,512
10000,100,30,168.334106,0,512
10000,150,30,1149.924561,1,512
10000,150,30,167.853455,0,512
10000,200,30,1315.356812,1,512
10000,200,30,167.511673,0,512
10000,250,30,1453.798340,1,512
10000,250,30,167.570801,0,512
10000,300,30,1549.800293,1,512
10000,300,30,165.842361,0,512
10000,350,30,1635.157471,1,512
10000,350,30,167.345612,0,512
10000,400,30,1670.029907,1,512
10000,400,30,166.144241,0,512
10000,450,30,1762.356079,1,512
10000,450,30,167.368576,0,512
10000,500,30,1806.162598,1,512
10000,500,30,167.228363,0,512
10000,550,26,1832.346680,1,512
10000,550,30,165.381866,0,512
10000,600,27,1865.242065,1,512
10000,600,27,165.252670,0,512
10000,650,23,1912.865479,1,512
10000,650,23,166.337326,0,512
10000,700,26,1933.619507,1,512
10000,700,26,165.095245,0,512
10000,750,25,2128.190918,1,512
10000,750,25,163.875961,0,512
10000,800,30,2072.163086,1,512
10000,800,30,162.951050,0,512
10000,850,29,2184.296143,1,512
10000,850,29,162.640137,0,512
10000,900,22,2219.606445,1,512
10000,900,22,160.706848,0,512
10000,950,26,2265.576904,1,512
10000,950,26,154.753860,0,512
100000,50,30,2187.513672,1,512
100000,50,30,169.685364,0,512
100000,100,30,2191.316650,1,512
100000,100,30,168.419159,0,512
100000,150,30,2240.288330,1,512
100000,150,30,167.992065,0,512
100000,200,30,2236.477783,1,512
100000,200,30,167.640656,0,512
100000,250,30,2340.955566,1,512
100000,250,30,167.575592,0,512
100000,300,30,2398.279541,1,512
100000,300,30,167.462265,0,512
100000,350,30,2442.758057,1,512
100000,350,30,167.394409,0,512
100000,400,30,2397.702881,1,512
100000,400,30,167.366837,0,512
100000,450,30,2486.494629,1,512
100000,450,30,167.282944,0,512
100000,500,30,2563.396973,1,512
100000,500,30,167.230545,0,512
100000,550,30,2517.193115,1,512
100000,550,30,167.279877,0,512
100000,600,30,2527.649658,1,512
100000,600,30,167.251587,0,512
100000,650,30,2566.812744,1,512
100000,650,30,167.260910,0,512
100000,700,30,2590.574463,1,512
100000,700,30,166.544724,0,512
100000,750,30,2551.402100,1,512
100000,750,30,167.212265,0,512
100000,800,30,2577.709961,1,512
100000,800,30,167.211777,0,512
100000,850,30,2609.766357,1,512
100000,850,30,167.225555,0,512
100000,900,30,2611.471191,1,512
100000,900,30,167.182861,0,512
100000,950,30,2538.258545,1,512
100000,950,30,167.161377,0,512
